診療項目代碼,健保支付點數,生效起日,生效迄日,英文項目名稱,中文項目名稱,支付規定
00304C,200,20160401,29101231,,身心障礙者轉出醫療院所至特殊醫療服務計畫院所之轉診費用,null
1,100,20220701,29101231,,第一次兒童衛教指導費(可搭配第一次兒童預防保健申報),null
01024C,1090,20160401,29101231,,山地離島地區醫療報酬–山地離島地區醫師巡迴醫療費（半天）,null
01028C,2180,20160401,29101231,,山地離島地區醫療報酬–支援二、三、四級離島無醫師地區醫療費（一天）,null
01030D,320,20250501,29101231,,助產所產後檢查,"(檢查)01030D - 助產所產後檢查 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
01033C,872,20160401,29101231,,山地離島地區醫療報酬–山地離島地區藥事人員巡迴醫療費（半天）,null
01036C,150,20250901,29101231,,辦理轉診費_上轉-使用保險人電子轉診平台,null
01039C,600,20240301,29101231,,腎臟移植諮詢費,null
01075C,1031,20130601,29101231,,職業性醫學科診斷性會談費,null
2,100,20220701,29101231,,第二次兒童衛教指導費(可搭配第二次兒童預防保健申報),null
02028C,3000,20250501,29101231,,預立醫療照護諮商費,null
3,100,20220701,29101231,,第三次兒童衛教指導費(可搭配第三次兒童預防保健申報),null
4,100,20220701,29101231,,第四次兒童衛教指導費(可搭配第四次兒童預防保健服務申報),null
5,100,20220701,29101231,,第五次兒童衛教指導費(可搭配第五次兒童預防保健申報),null
05204D,20,20240901,29101231,,門診藥事服務費－一般處方給藥（七天以內）,null
05207C,41,20240901,29101231,,門診藥事服務費－慢性病處方給藥十四至二十七天(山地離島地區每人每日一百件內),null
05208D,30,20240901,29101231,,門診藥事服務費－慢性病處方給藥十四至二十七天,null
05211C,51,20240901,29101231,,門診藥事服務費－慢性病處方給藥二十八天以上(山地離島地區每人每日一百件內),null
05212D,41,20240901,29101231,,門診藥事服務費－慢性病處方給藥二十八天以上,null
05225D,20,20240901,29101231,,門診藥事服務費-慢性病處方給藥十三天以內,null
05234D,20,20210301,29101231,,門診藥事服務費(診所自聘藥事人員及藥局部分)每人每日八十一至一百件內(山地離島地區每人每日一百零一至一百二十件內),null
05307C,1553,20211201,29101231,,醫師訪視費(次)1.在宅,null
05308C,2051,20220601,29101231,,山地離島地區醫師訪視費(次)1.在宅,null
05309C,600,20220601,29101231,,醫師訪視費(次)1.在宅－同一醫師，應同一承辦居家照護業務機構之請，當日訪視個案在五個以上者，自第五個個案起，其訪視費依本項申報,null
05310C,792,20220601,29101231,,山地離島地區醫師訪視費(次)1.在宅－山地離島地區同一醫師，應同一承辦居家照護業務機構之請，當日訪視個案在五個以上者，自第五個個案起，其訪視費依本項申報,null
05312C,1553,20220601,29101231,,甲類醫師訪視費用(次)-在宅,null
05315C,1050,20150201,29101231,,其他專業人員處置費(次)-在宅:目前僅限於社會工作人員或心理師,"(處置)05315C - 其他專業人員處置費(次)-在宅:目前僅限於社會工作人員或心理師 審查原則:
1.申報條件：需符合臨床必要性, 處置適應症。
2.應檢附文件：處置紀錄, 使用材料清單。
3.限制條件：重複處置限制, 材料申報。
(114/1/1)"
05316C,1890,20150201,29101231,,"病患自控式止痛處置及材料費(Patient- Controlled Anagesia, PCA)","(處置)05316C - 病患自控式止痛處置及材料費(Patient- Controlled Anagesia, PCA) 審查原則:
1.申報條件：需符合臨床必要性, 處置適應症。
2.應檢附文件：處置紀錄, 使用材料清單。
3.限制條件：重複處置限制, 材料申報。
(114/1/1)"
05323C,2051,20220601,29101231,,甲類醫師訪視費用–山地離島地區(次)-在宅,null
05326C,5000,20220901,29101231,,臨終病患訪視費,null
05327C,6600,20220901,29101231,,臨終病患訪視費山地離島地區,null
05336C,1088,20220601,29101231,,乙類醫師訪視費用(次)-在宅,null
05337C,1435,20220601,29101231,,乙類醫師訪視費用山地離島地區(次)-在宅,null
05358C,1242,20211201,29101231,,醫師訪視費(次)2.機構,null
05359C,1640,20220601,29101231,,山地離島地區醫師訪視費(次)2.機構,null
05360C,600,20220601,29101231,,醫師訪視費(次)2.機構－同一醫師，應同一承辦居家照護業務機構之請，當日訪視個案在五個以上者，自第五個個案起，其訪視費依本項申報,null
05361C,792,20220601,29101231,,山地離島地區醫師訪視費(次)2.機構－山地離島地區同一醫師，應同一承辦居家照護業務機構之請，當日訪視個案在五個以上者，自第五個個案起，其訪視費依本項申報,null
05362C,1242,20220601,29101231,,甲類醫師訪視費用(次)-機構,null
05363C,1640,20220601,29101231,,甲類醫師訪視費用–山地離島地區(次)-機構,null
05364C,870,20220601,29101231,,乙類醫師訪視費用(次)-機構,null
05365C,1147,20220601,29101231,,乙類醫師訪視費用山地離島地區(次)-機構,null
05374C,840,20150201,29101231,,其他專業人員處置費(次)-機構:目前僅限於社會工作人員或心理師,"(處置)05374C - 其他專業人員處置費(次)-機構:目前僅限於社會工作人員或心理師 審查原則:
1.申報條件：需符合臨床必要性, 處置適應症。
2.應檢附文件：處置紀錄, 使用材料清單。
3.限制條件：重複處置限制, 材料申報。
(114/1/1)"
05401C,600,20201201,29101231,,精神復健機構(日間型機構)之復健治療（天）,"(治療)05401C - 精神復健機構(日間型機構)之復健治療（天） 審查原則:
1.申報條件：需符合治療適應症, 治療必要性。
2.應檢附文件：治療計畫, 療效評估。
3.限制條件：療程次數, 治療間隔, 療效評估。
(114/1/1)"
05402C,582,20221201,29101231,,精神復健機構(住宿型機構)全日之復健治療（天）,"(治療)05402C - 精神復健機構(住宿型機構)全日之復健治療（天） 審查原則:
1.申報條件：需符合治療適應症, 治療必要性。
2.應檢附文件：治療計畫, 療效評估。
3.限制條件：療程次數, 治療間隔, 療效評估。
(114/1/1)"
